weather_observation_id,station_name,state,latitude,longitude,crs,measurement_timestamp,rainfall_mm,rainfall_intensity_mm_hr,temperature_c,relative_humidity_pct,wind_speed_mps,surface_pressure_hpa,river_level_m,river_discharge_m3s,forecast_river_level_m,flood_alert_level,data_source,data_status
IN-WX-0108,Guwahati,Assam,26.145609,91.736449,EPSG:4326,2025-06-04 00:00:00,8.23,0.64,27.0,72.4,8.11,1000.7,9.42,864.76,9.4,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0109,Bhubaneswar,Odisha,20.295999,85.828087,EPSG:4326,2025-06-04 00:00:00,13.49,1.05,22.7,83.6,6.27,996.5,10.14,843.17,10.33,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0110,Ranchi,Jharkhand,23.340733,85.319252,EPSG:4326,2025-06-04 00:00:00,7.86,0.52,24.2,88.6,9.76,1014.9,4.93,461.43,4.7,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0111,Bhopal,Madhya Pradesh,23.268573,77.412612,EPSG:4326,2025-06-04 00:00:00,2.56,0.18,12.1,55.6,10.88,996.8,8.68,441.83,8.84,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0112,Indore,Madhya Pradesh,22.715661,75.866581,EPSG:4326,2025-06-04 00:00:00,13.61,0.69,32.8,79.5,13.72,1007.9,3.1,395.74,3.01,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0113,Raipur,Chhattisgarh,21.249238,81.638397,EPSG:4326,2025-06-04 00:00:00,19.94,1.25,18.2,60.6,7.22,1006.4,8.83,188.93,8.7,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0114,Hyderabad,Telangana,17.38179,78.479609,EPSG:4326,2025-06-04 00:00:00,10.71,0.68,22.5,96.4,9.95,998.7,7.7,274.26,7.86,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0115,Bengaluru,Karnataka,12.975583,77.587102,EPSG:4326,2025-06-04 00:00:00,3.83,0.36,34.6,71.9,6.16,990.4,8.36,775.36,8.46,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0116,Mysuru,Karnataka,12.286488,76.636482,EPSG:4326,2025-06-04 00:00:00,3.0,0.36,34.8,85.2,12.29,1015.2,1.81,144.58,1.82,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0117,Chennai,Tamil Nadu,13.085252,80.279888,EPSG:4326,2025-06-04 00:00:00,6.67,0.39,22.2,65.6,5.07,1004.5,2.7,223.12,2.4,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0118,Coimbatore,Tamil Nadu,11.015807,76.948955,EPSG:4326,2025-06-04 00:00:00,2.34,0.23,29.9,83.2,2.07,998.4,2.71,91.85,2.51,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0119,Kochi,Kerala,9.929737,76.2615,EPSG:4326,2025-06-04 00:00:00,23.79,1.15,22.7,87.1,4.57,1001.3,2.14,79.85,2.02,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0120,Thiruvananthapuram,Kerala,8.530061,76.946543,EPSG:4326,2025-06-04 00:00:00,18.5,3.57,24.5,86.9,2.79,1010.6,7.39,354.09,7.23,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0121,Vijayawada,Andhra Pradesh,16.506599,80.647889,EPSG:4326,2025-06-04 00:00:00,6.79,0.99,22.1,87.6,11.46,1002.0,4.67,188.5,4.48,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0122,Visakhapatnam,Andhra Pradesh,17.690244,83.225546,EPSG:4326,2025-06-04 00:00:00,17.73,1.13,29.0,95.0,0.7,1017.7,4.73,145.63,4.71,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0123,Srinagar,Jammu and Kashmir,34.07636,74.78913,EPSG:4326,2025-06-04 00:00:00,3.56,0.34,24.6,71.6,8.01,1009.5,9.62,800.46,9.84,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0124,Shimla,Himachal Pradesh,31.097763,77.1829,EPSG:4326,2025-06-04 00:00:00,2.0,0.11,15.3,54.2,5.51,1008.3,8.21,1059.8,8.33,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0125,Dehradun,Uttarakhand,30.308457,78.040883,EPSG:4326,2025-06-04 00:00:00,23.16,5.0,28.1,91.6,10.01,995.6,7.89,417.2,8.17,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0126,Gaya,Bihar,24.791479,85.009212,EPSG:4326,2025-06-04 00:00:00,11.2,2.11,22.1,80.5,7.2,1002.9,8.32,857.34,8.44,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0127,Agra,Uttar Pradesh,27.181602,78.006167,EPSG:4326,2025-06-04 00:00:00,4.46,0.57,34.0,76.5,9.33,1016.0,4.36,523.67,4.22,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0128,Gandhinagar,Gujarat,23.22515,72.634585,EPSG:4326,2025-06-04 00:00:00,10.0,0.89,28.9,79.9,10.22,1018.3,9.37,1104.73,9.16,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0129,Delhi,Delhi,28.615802,77.207619,EPSG:4326,2025-06-05 00:00:00,7.05,0.56,26.5,53.2,1.85,997.8,2.76,224.76,2.87,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0130,Mumbai,Maharashtra,19.071282,72.869259,EPSG:4326,2025-06-05 00:00:00,5.94,0.34,35.4,68.4,8.34,1005.5,3.81,386.89,4.05,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0131,Pune,Maharashtra,18.52875,73.852295,EPSG:4326,2025-06-05 00:00:00,12.97,0.58,15.5,78.5,10.59,1004.2,8.79,1058.96,8.52,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0132,Nagpur,Maharashtra,21.136828,79.084989,EPSG:4326,2025-06-05 00:00:00,3.11,0.38,32.5,67.7,3.02,1002.4,4.47,299.52,4.36,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0133,Ahmedabad,Gujarat,23.01674,72.567999,EPSG:4326,2025-06-05 00:00:00,16.07,0.74,19.8,84.9,0.69,1006.4,4.62,488.13,4.52,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0134,Surat,Gujarat,21.175949,72.828204,EPSG:4326,2025-06-05 00:00:00,16.31,0.69,28.9,86.3,2.06,1008.0,2.78,198.56,3.08,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0135,Jaipur,Rajasthan,26.908342,75.77882,EPSG:4326,2025-06-05 00:00:00,6.0,0.33,35.9,69.2,3.56,1005.0,8.41,633.3,8.37,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0136,Lucknow,Uttar Pradesh,26.842767,80.938927,EPSG:4326,2025-06-05 00:00:00,17.1,2.54,21.9,77.0,5.23,1013.8,7.28,542.27,7.04,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0137,Varanasi,Uttar Pradesh,25.309701,82.982455,EPSG:4326,2025-06-05 00:00:00,26.4,1.59,31.4,68.3,4.9,1007.1,4.46,415.67,4.36,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0138,Patna,Bihar,25.603871,85.146609,EPSG:4326,2025-06-05 00:00:00,10.98,2.49,22.3,88.8,9.6,1006.4,7.87,464.31,8.04,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0139,Kolkata,West Bengal,22.582127,88.359066,EPSG:4326,2025-06-05 00:00:00,3.31,0.19,27.8,57.3,8.28,1008.9,1.71,181.2,1.88,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0140,Guwahati,Assam,26.143513,91.733642,EPSG:4326,2025-06-05 00:00:00,14.29,2.27,31.9,48.4,3.23,1005.2,9.32,1153.85,9.42,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0141,Bhubaneswar,Odisha,20.29705,85.824279,EPSG:4326,2025-06-05 00:00:00,7.45,2.83,35.5,75.3,13.15,1015.5,5.63,463.08,5.85,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0142,Ranchi,Jharkhand,23.335494,85.313361,EPSG:4326,2025-06-05 00:00:00,8.1,0.48,26.1,86.4,2.87,1015.4,4.72,587.11,4.85,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0143,Bhopal,Madhya Pradesh,23.253517,77.409221,EPSG:4326,2025-06-05 00:00:00,2.18,0.14,31.4,57.4,3.14,1013.2,1.53,187.65,1.25,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0144,Indore,Madhya Pradesh,22.725313,75.862541,EPSG:4326,2025-06-05 00:00:00,8.02,0.78,32.4,54.6,0.81,999.2,9.92,371.02,9.9,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0145,Raipur,Chhattisgarh,21.260115,81.623509,EPSG:4326,2025-06-05 00:00:00,9.11,1.25,18.8,59.6,12.81,1018.2,2.28,269.82,2.37,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0146,Hyderabad,Telangana,17.384267,78.48065,EPSG:4326,2025-06-05 00:00:00,2.94,0.15,27.5,49.5,0.76,1010.4,9.59,368.32,9.55,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0147,Bengaluru,Karnataka,12.980229,77.588384,EPSG:4326,2025-06-05 00:00:00,2.14,0.13,27.7,49.5,1.03,997.0,10.53,473.35,10.36,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0148,Mysuru,Karnataka,12.293654,76.634465,EPSG:4326,2025-06-05 00:00:00,4.02,0.24,20.3,61.0,4.71,1013.4,9.49,672.45,9.3,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0149,Chennai,Tamil Nadu,13.077214,80.263029,EPSG:4326,2025-06-05 00:00:00,1.42,0.08,24.3,83.4,5.07,1008.9,5.07,491.02,4.82,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0150,Coimbatore,Tamil Nadu,11.017626,76.94587,EPSG:4326,2025-06-05 00:00:00,14.64,1.72,29.9,53.4,8.63,1009.0,7.72,927.24,7.82,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0151,Kochi,Kerala,9.921582,76.264362,EPSG:4326,2025-06-05 00:00:00,58.71,2.7,26.4,54.8,12.64,991.8,11.73,1117.37,11.92,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0152,Thiruvananthapuram,Kerala,8.521983,76.945141,EPSG:4326,2025-06-05 00:00:00,2.37,0.12,16.0,76.3,1.05,1010.6,6.85,187.36,7.08,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0153,Vijayawada,Andhra Pradesh,16.505865,80.652668,EPSG:4326,2025-06-05 00:00:00,23.16,1.26,24.3,75.7,12.93,993.6,9.64,828.91,9.35,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0154,Visakhapatnam,Andhra Pradesh,17.685135,83.215713,EPSG:4326,2025-06-05 00:00:00,9.55,0.75,32.5,96.3,13.49,1005.8,6.04,397.99,6.07,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0155,Srinagar,Jammu and Kashmir,34.079701,74.80452,EPSG:4326,2025-06-05 00:00:00,9.82,0.62,16.8,83.3,13.75,1007.5,6.95,278.92,6.88,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0156,Shimla,Himachal Pradesh,31.109699,77.169009,EPSG:4326,2025-06-05 00:00:00,7.43,0.38,14.9,45.1,10.53,1012.0,5.82,176.5,5.84,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0157,Dehradun,Uttarakhand,30.318248,78.035419,EPSG:4326,2025-06-05 00:00:00,5.86,0.58,25.9,54.2,9.07,1012.4,10.39,395.95,10.17,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0158,Gaya,Bihar,24.791767,84.993642,EPSG:4326,2025-06-05 00:00:00,2.39,0.11,20.6,58.3,9.9,1004.3,3.49,193.13,3.75,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0159,Agra,Uttar Pradesh,27.185408,78.014108,EPSG:4326,2025-06-05 00:00:00,31.09,3.71,22.1,87.4,2.89,1002.9,11.3,302.73,11.12,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0160,Gandhinagar,Gujarat,23.208088,72.633218,EPSG:4326,2025-06-05 00:00:00,4.79,0.23,30.4,76.5,5.53,1011.7,8.27,473.5,8.37,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0161,Delhi,Delhi,28.622537,77.215418,EPSG:4326,2025-06-06 00:00:00,7.14,0.94,19.1,57.7,9.21,998.3,10.27,559.4,10.28,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0162,Mumbai,Maharashtra,19.073901,72.867896,EPSG:4326,2025-06-06 00:00:00,9.87,0.49,18.0,51.2,7.33,1015.0,10.2,571.97,10.01,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0163,Pune,Maharashtra,18.528135,73.865432,EPSG:4326,2025-06-06 00:00:00,22.8,2.11,18.1,89.3,0.55,997.9,6.47,731.45,6.57,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0164,Nagpur,Maharashtra,21.152171,79.085749,EPSG:4326,2025-06-06 00:00:00,6.72,0.29,35.5,57.4,5.98,1016.9,5.61,215.87,5.73,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0165,Ahmedabad,Gujarat,23.02799,72.563543,EPSG:4326,2025-06-06 00:00:00,4.0,0.68,28.2,47.9,5.31,1016.3,9.64,1001.61,9.76,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0166,Surat,Gujarat,21.161151,72.823772,EPSG:4326,2025-06-06 00:00:00,2.58,0.13,20.6,94.6,8.06,1018.8,8.95,855.71,8.9,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0167,Jaipur,Rajasthan,26.909305,75.777901,EPSG:4326,2025-06-06 00:00:00,7.95,0.61,19.4,59.7,8.91,996.6,5.12,226.56,5.35,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0168,Lucknow,Uttar Pradesh,26.856381,80.951193,EPSG:4326,2025-06-06 00:00:00,20.95,1.33,34.8,94.4,8.87,993.7,4.84,362.79,4.99,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0169,Varanasi,Uttar Pradesh,25.317669,82.974396,EPSG:4326,2025-06-06 00:00:00,5.27,0.25,22.1,84.0,11.84,1004.3,3.37,341.63,3.58,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0170,Patna,Bihar,25.585307,85.12828,EPSG:4326,2025-06-06 00:00:00,0.48,0.11,15.0,58.7,12.54,1000.3,0.92,25.04,1.2,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0171,Kolkata,West Bengal,22.579848,88.355975,EPSG:4326,2025-06-06 00:00:00,16.83,0.93,20.1,66.3,10.98,1003.0,6.74,498.89,6.97,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0172,Guwahati,Assam,26.137113,91.743483,EPSG:4326,2025-06-06 00:00:00,23.59,1.18,34.1,90.2,1.79,1010.8,8.4,390.39,8.32,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0173,Bhubaneswar,Odisha,20.299364,85.81751,EPSG:4326,2025-06-06 00:00:00,22.62,4.4,23.2,80.7,7.05,994.5,6.94,222.09,6.92,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0174,Ranchi,Jharkhand,23.341958,85.314445,EPSG:4326,2025-06-06 00:00:00,1.65,0.09,17.5,59.3,5.68,1003.8,9.31,593.25,9.22,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0175,Bhopal,Madhya Pradesh,23.266763,77.411432,EPSG:4326,2025-06-06 00:00:00,1.98,0.28,23.6,65.8,1.3,1012.9,5.77,671.6,5.62,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0176,Indore,Madhya Pradesh,22.721313,75.861005,EPSG:4326,2025-06-06 00:00:00,2.34,0.31,18.0,94.1,13.3,1007.7,4.71,316.71,4.82,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0177,Raipur,Chhattisgarh,21.246668,81.621784,EPSG:4326,2025-06-06 00:00:00,5.23,0.37,29.8,86.4,10.65,1004.3,9.99,971.42,9.73,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0178,Hyderabad,Telangana,17.39367,78.484659,EPSG:4326,2025-06-06 00:00:00,8.27,0.47,30.9,80.8,5.47,1012.1,10.09,1027.31,10.38,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0179,Bengaluru,Karnataka,12.974488,77.593171,EPSG:4326,2025-06-06 00:00:00,1.69,0.1,14.5,48.0,4.44,991.6,2.37,87.77,2.14,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0180,Mysuru,Karnataka,12.297455,76.63098,EPSG:4326,2025-06-06 00:00:00,7.85,1.58,34.9,65.8,10.21,1010.1,10.49,237.91,10.58,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0181,Chennai,Tamil Nadu,13.084189,80.264794,EPSG:4326,2025-06-06 00:00:00,14.34,1.25,17.7,64.1,6.38,1004.3,6.18,208.79,5.91,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0182,Coimbatore,Tamil Nadu,11.021534,76.952945,EPSG:4326,2025-06-06 00:00:00,9.96,2.57,14.5,81.0,11.03,999.5,7.43,782.25,7.43,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0183,Kochi,Kerala,9.939928,76.268645,EPSG:4326,2025-06-06 00:00:00,13.84,0.77,33.7,61.7,1.9,999.2,10.24,815.79,10.09,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0184,Thiruvananthapuram,Kerala,8.516877,76.926932,EPSG:4326,2025-06-06 00:00:00,17.91,0.96,31.6,63.5,9.38,991.9,7.51,415.25,7.23,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0185,Vijayawada,Andhra Pradesh,16.497727,80.652327,EPSG:4326,2025-06-06 00:00:00,4.37,0.88,31.5,71.3,3.76,1003.1,4.73,95.46,4.76,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0186,Visakhapatnam,Andhra Pradesh,17.696314,83.212219,EPSG:4326,2025-06-06 00:00:00,32.01,1.69,29.4,55.0,6.59,993.5,7.41,730.25,7.55,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0187,Srinagar,Jammu and Kashmir,34.092805,74.787841,EPSG:4326,2025-06-06 00:00:00,3.26,0.26,13.0,46.5,10.02,1008.5,7.74,918.19,7.91,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0188,Shimla,Himachal Pradesh,31.101843,77.173253,EPSG:4326,2025-06-06 00:00:00,13.68,0.86,26.9,96.2,3.81,993.7,5.28,602.75,5.43,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0189,Dehradun,Uttarakhand,30.319346,78.033903,EPSG:4326,2025-06-06 00:00:00,15.66,5.52,16.6,81.2,1.2,1013.1,3.56,196.7,3.49,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0190,Gaya,Bihar,24.798858,84.995757,EPSG:4326,2025-06-06 00:00:00,6.44,1.6,13.3,76.4,8.78,1000.5,6.76,608.62,6.63,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0191,Agra,Uttar Pradesh,27.172642,78.015677,EPSG:4326,2025-06-06 00:00:00,5.82,0.93,24.5,74.1,8.37,999.4,8.21,1048.53,8.38,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0192,Gandhinagar,Gujarat,23.214622,72.635322,EPSG:4326,2025-06-06 00:00:00,2.27,0.7,17.5,65.0,9.19,1012.6,7.85,419.83,7.96,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0193,Delhi,Delhi,28.605102,77.200109,EPSG:4326,2025-06-07 00:00:00,15.36,3.08,24.2,85.1,7.24,1004.7,9.51,282.08,9.43,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0194,Mumbai,Maharashtra,19.074093,72.880906,EPSG:4326,2025-06-07 00:00:00,9.48,0.53,14.6,46.8,8.75,1014.2,8.54,384.26,8.5,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0195,Pune,Maharashtra,18.516977,73.862379,EPSG:4326,2025-06-07 00:00:00,16.64,1.37,21.0,81.6,2.56,1012.0,9.65,271.17,9.76,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0196,Nagpur,Maharashtra,21.150683,79.0815,EPSG:4326,2025-06-07 00:00:00,7.04,0.52,25.9,46.7,12.66,1002.8,3.17,231.02,2.89,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0197,Ahmedabad,Gujarat,23.022902,72.567961,EPSG:4326,2025-06-07 00:00:00,13.52,1.24,31.8,87.2,10.73,1008.0,1.38,176.61,1.37,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0198,Surat,Gujarat,21.172187,72.83727,EPSG:4326,2025-06-07 00:00:00,18.3,1.71,29.2,48.1,5.05,993.6,5.87,302.0,5.84,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0199,Jaipur,Rajasthan,26.912117,75.793745,EPSG:4326,2025-06-07 00:00:00,11.63,2.2,29.5,90.5,13.35,991.2,1.17,44.49,0.93,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0200,Lucknow,Uttar Pradesh,26.850564,80.936341,EPSG:4326,2025-06-07 00:00:00,10.44,0.6,30.5,81.2,4.09,1001.3,5.82,242.26,5.81,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0201,Varanasi,Uttar Pradesh,25.318127,82.968826,EPSG:4326,2025-06-07 00:00:00,15.69,1.16,33.9,55.1,9.26,997.5,8.09,553.54,8.05,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0202,Patna,Bihar,25.599039,85.131321,EPSG:4326,2025-06-07 00:00:00,57.15,11.34,20.4,63.6,8.39,1013.7,6.53,268.2,6.75,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0203,Kolkata,West Bengal,22.574554,88.354182,EPSG:4326,2025-06-07 00:00:00,11.42,0.63,30.2,92.5,12.67,1018.8,1.15,90.25,1.28,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0204,Guwahati,Assam,26.140662,91.731445,EPSG:4326,2025-06-07 00:00:00,24.57,1.54,28.2,72.9,12.53,995.1,9.18,486.45,8.99,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0205,Bhubaneswar,Odisha,20.296942,85.832484,EPSG:4326,2025-06-07 00:00:00,20.32,1.78,13.5,86.9,7.99,1018.1,10.12,739.48,10.09,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0206,Ranchi,Jharkhand,23.337603,85.307923,EPSG:4326,2025-06-07 00:00:00,7.36,0.37,18.5,67.9,13.74,990.6,8.52,750.81,8.51,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0207,Bhopal,Madhya Pradesh,23.253372,77.415006,EPSG:4326,2025-06-07 00:00:00,9.66,0.48,28.4,85.7,5.11,1008.8,6.39,666.35,6.61,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0208,Indore,Madhya Pradesh,22.727611,75.851533,EPSG:4326,2025-06-07 00:00:00,1.46,0.12,31.8,79.6,2.75,1004.8,7.29,684.78,7.11,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0209,Raipur,Chhattisgarh,21.255162,81.625845,EPSG:4326,2025-06-07 00:00:00,13.08,0.8,18.2,62.5,7.97,999.1,8.45,639.93,8.16,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0210,Hyderabad,Telangana,17.376483,78.495923,EPSG:4326,2025-06-07 00:00:00,1.05,0.08,16.8,94.5,13.82,1006.1,2.96,347.41,2.73,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0211,Bengaluru,Karnataka,12.966465,77.589026,EPSG:4326,2025-06-07 00:00:00,8.63,0.55,32.9,83.9,10.09,991.4,9.45,469.91,9.6,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0212,Mysuru,Karnataka,12.293706,76.631035,EPSG:4326,2025-06-07 00:00:00,5.77,0.3,15.5,83.3,6.52,1006.3,2.22,76.9,2.32,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0213,Chennai,Tamil Nadu,13.087602,80.273263,EPSG:4326,2025-06-07 00:00:00,4.28,1.05,33.5,96.2,9.35,1003.2,3.21,144.5,3.09,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0214,Coimbatore,Tamil Nadu,11.019035,76.95764,EPSG:4326,2025-06-07 00:00:00,18.61,1.01,18.1,97.6,8.19,1010.7,3.22,144.34,3.07,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0215,Kochi,Kerala,9.933634,76.26577,EPSG:4326,2025-06-07 00:00:00,2.77,0.48,26.9,95.9,7.59,1013.7,9.14,549.06,8.89,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
