population_id,state,district,village_or_city,nearest_city,latitude,longitude,crs,population_total,male_population,female_population,households,population_density_per_km2,children_population,elderly_population,settlement_type,river_distance_m,floodplain_flag,elevation_m,estimated_exposed_population,settlement_geometry_wkt,data_source,data_status
IN-POP-0093,Uttar Pradesh,Agra,Agra Settlement 0093,Agra,27.16833,78.007701,EPSG:4326,109708,56700,53008,33682,13306.9,14610,12187,Urban Fringe,1160.8,1,516.1,31639,POINT (78.007701 27.168330),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0094,Delhi,Delhi,Delhi Settlement 0094,Delhi,28.616241,77.235297,EPSG:4326,901,468,433,268,101.8,188,96,Village,5435.7,0,309.0,6,POINT (77.235297 28.616241),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0095,Maharashtra,Mumbai,Mumbai Settlement 0095,Mumbai,19.048663,72.877701,EPSG:4326,19992,9441,10551,5143,1737.5,3706,1276,Village,4953.7,0,683.6,1302,POINT (72.877701 19.048663),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0096,Maharashtra,Pune,Pune Settlement 0096,Pune,18.5401,73.88461,EPSG:4326,24803,12343,12460,5195,2645.1,5270,2892,Village,2985.0,0,685.4,997,POINT (73.884610 18.540100),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0097,Maharashtra,Nagpur,Nagpur Settlement 0097,Nagpur,21.153702,79.090576,EPSG:4326,18000,8741,9259,5400,7699.9,3397,1749,Village,6071.6,0,1047.4,1001,POINT (79.090576 21.153702),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0098,Gujarat,Ahmedabad,Ahmedabad Settlement 0098,Ahmedabad,23.01946,72.598984,EPSG:4326,84158,40824,43334,24669,16157.6,10124,5721,Urban Fringe,501.4,1,939.4,58462,POINT (72.598984 23.019460),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0099,Gujarat,Surat,Surat Settlement 0099,Surat,21.147772,72.814604,EPSG:4326,9033,4420,4613,2190,917.8,1601,1053,Village,1028.1,1,259.0,3428,POINT (72.814604 21.147772),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0100,Rajasthan,Jaipur,Jaipur Settlement 0100,Jaipur,26.922658,75.79182,EPSG:4326,133554,65369,68185,34357,25983.2,18461,10405,City,5241.2,0,348.0,7910,POINT (75.791820 26.922658),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0101,Uttar Pradesh,Lucknow,Lucknow Settlement 0101,Lucknow,26.828285,80.930582,EPSG:4326,19029,9687,9342,4671,2862.0,2558,1307,Village,514.8,1,271.7,8232,POINT (80.930582 26.828285),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0102,Uttar Pradesh,Varanasi,Varanasi Settlement 0102,Varanasi,25.314083,82.998611,EPSG:4326,82060,42297,39763,20768,11674.3,16507,10254,City,6624.5,0,1064.7,5223,POINT (82.998611 25.314083),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0103,Bihar,Patna,Patna Settlement 0103,Patna,25.585951,85.156248,EPSG:4326,141786,72767,69019,44045,26572.2,18972,16100,City,3244.4,0,475.4,9261,POINT (85.156248 25.585951),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0104,West Bengal,Kolkata,Kolkata Settlement 0104,Kolkata,22.585039,88.342465,EPSG:4326,117823,57528,60295,23682,14176.7,21616,12552,Town,7356.2,0,332.2,8464,POINT (88.342465 22.585039),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0105,Assam,Guwahati,Guwahati Settlement 0105,Guwahati,26.15462,91.744348,EPSG:4326,20222,10587,9635,4622,12536.8,2637,1832,Village,3407.8,0,39.3,86,POINT (91.744348 26.154620),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0106,Odisha,Bhubaneswar,Bhubaneswar Settlement 0106,Bhubaneswar,20.27032,85.843654,EPSG:4326,12645,6150,6495,3551,1890.1,1685,841,Village,2943.0,0,521.1,651,POINT (85.843654 20.270320),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0107,Jharkhand,Ranchi,Ranchi Settlement 0107,Ranchi,23.31518,85.297121,EPSG:4326,144726,72981,71745,37945,33413.4,29183,14366,City,4761.8,0,100.7,9080,POINT (85.297121 23.315180),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0108,Madhya Pradesh,Bhopal,Bhopal Settlement 0108,Bhopal,23.283573,77.393123,EPSG:4326,82369,41732,40637,19403,6988.3,12674,8326,City,2474.1,0,923.0,2729,POINT (77.393123 23.283573),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0109,Madhya Pradesh,Indore,Indore Settlement 0109,Indore,22.707873,75.883969,EPSG:4326,19008,9596,9412,5033,17340.3,3595,1687,Village,2374.9,0,522.0,777,POINT (75.883969 22.707873),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0110,Chhattisgarh,Raipur,Raipur Settlement 0110,Raipur,21.236498,81.642653,EPSG:4326,51896,26956,24940,12652,21099.6,7169,3142,City,7666.2,0,953.3,3099,POINT (81.642653 21.236498),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0111,Telangana,Hyderabad,Hyderabad Settlement 0111,Hyderabad,17.409644,78.485715,EPSG:4326,83870,41490,42380,17930,8312.3,16286,7023,City,3339.8,0,720.7,6575,POINT (78.485715 17.409644),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0112,Karnataka,Bengaluru,Bengaluru Settlement 0112,Bengaluru,12.979692,77.597723,EPSG:4326,22389,10780,11609,5806,7961.3,4388,2465,Village,2925.5,0,771.7,1763,POINT (77.597723 12.979692),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0113,Karnataka,Mysuru,Mysuru Settlement 0113,Mysuru,12.309199,76.63868,EPSG:4326,5686,2730,2956,1538,485.8,1117,394,Village,4750.9,0,392.3,344,POINT (76.638680 12.309199),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0114,Tamil Nadu,Chennai,Chennai Settlement 0114,Chennai,13.06271,80.282428,EPSG:4326,27111,13040,14071,5968,15412.7,4476,2480,Urban Fringe,5711.7,0,660.1,1901,POINT (80.282428 13.062710),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0115,Tamil Nadu,Coimbatore,Coimbatore Settlement 0115,Coimbatore,11.012218,76.982078,EPSG:4326,6802,3374,3428,1663,3013.4,1086,522,Village,7949.0,0,376.7,37,POINT (76.982078 11.012218),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0116,Kerala,Kochi,Kochi Settlement 0116,Kochi,9.908424,76.247753,EPSG:4326,7354,3795,3559,1596,2182.5,907,935,Village,2646.8,0,1111.9,552,POINT (76.247753 9.908424),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0117,Kerala,Thiruvananthapuram,Thiruvananthapuram Settlement 0117,Thiruvananthapuram,8.504858,76.909902,EPSG:4326,9715,4821,4894,2734,1216.2,1327,633,Village,544.1,1,23.9,6422,POINT (76.909902 8.504858),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0118,Andhra Pradesh,Vijayawada,Vijayawada Settlement 0118,Vijayawada,16.498506,80.676324,EPSG:4326,24720,12863,11857,5002,3963.2,5220,1977,Urban Fringe,4669.3,0,86.8,1404,POINT (80.676324 16.498506),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0119,Andhra Pradesh,Visakhapatnam,Visakhapatnam Settlement 0119,Visakhapatnam,17.673715,83.240549,EPSG:4326,2071,1011,1060,456,939.3,329,257,Village,5777.8,0,115.7,163,POINT (83.240549 17.673715),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0120,Jammu and Kashmir,Srinagar,Srinagar Settlement 0120,Srinagar,34.072751,74.775363,EPSG:4326,970,487,483,288,85.1,188,111,Village,7078.5,0,980.8,44,POINT (74.775363 34.072751),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0121,Himachal Pradesh,Shimla,Shimla Settlement 0121,Shimla,31.096357,77.183362,EPSG:4326,111979,55658,56321,25883,14984.0,20793,7485,City,346.3,1,347.0,62937,POINT (77.183362 31.096357),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0122,Uttarakhand,Dehradun,Dehradun Settlement 0122,Dehradun,30.303271,78.036107,EPSG:4326,23170,12034,11136,4668,3866.4,3451,1426,Village,326.3,1,983.0,7595,POINT (78.036107 30.303271),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0123,Bihar,Gaya,Gaya Settlement 0123,Gaya,24.79193,84.979836,EPSG:4326,74261,39090,35171,16736,26151.7,10886,8908,Town,6710.2,0,476.4,2804,POINT (84.979836 24.791930),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0124,Uttar Pradesh,Agra,Agra Settlement 0124,Agra,27.186848,78.037473,EPSG:4326,22613,11284,11329,7004,3301.8,4016,2024,Village,6731.4,0,613.3,601,POINT (78.037473 27.186848),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0125,Delhi,Delhi,Delhi Settlement 0125,Delhi,28.597925,77.224082,EPSG:4326,97990,46618,51372,22483,11632.7,13221,7311,Town,211.5,1,229.3,27386,POINT (77.224082 28.597925),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0126,Maharashtra,Mumbai,Mumbai Settlement 0126,Mumbai,19.089458,72.851058,EPSG:4326,13916,6987,6929,3107,3400.9,2810,983,Village,4537.4,0,894.8,437,POINT (72.851058 19.089458),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0127,Maharashtra,Pune,Pune Settlement 0127,Pune,18.495842,73.868245,EPSG:4326,18946,9130,9816,4014,1739.6,2742,1873,Village,6705.3,0,370.8,935,POINT (73.868245 18.495842),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0128,Maharashtra,Nagpur,Nagpur Settlement 0128,Nagpur,21.133504,79.080006,EPSG:4326,16017,8444,7573,3245,1631.0,2196,1413,Village,3991.3,0,289.3,1227,POINT (79.080006 21.133504),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0129,Gujarat,Ahmedabad,Ahmedabad Settlement 0129,Ahmedabad,22.998675,72.585231,EPSG:4326,21191,10004,11187,6182,3017.6,2877,2503,Village,3975.2,0,870.3,693,POINT (72.585231 22.998675),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0130,Gujarat,Surat,Surat Settlement 0130,Surat,21.172162,72.841744,EPSG:4326,14967,7519,7448,4331,10035.0,2932,1536,Village,7782.1,0,1120.5,268,POINT (72.841744 21.172162),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0131,Rajasthan,Jaipur,Jaipur Settlement 0131,Jaipur,26.906532,75.792188,EPSG:4326,3645,1773,1872,859,383.9,613,378,Village,3239.0,0,282.7,89,POINT (75.792188 26.906532),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0132,Uttar Pradesh,Lucknow,Lucknow Settlement 0132,Lucknow,26.84696,80.952177,EPSG:4326,86357,40694,45663,20211,7827.5,16669,8948,City,573.0,1,485.0,7596,POINT (80.952177 26.846960),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0133,Uttar Pradesh,Varanasi,Varanasi Settlement 0133,Varanasi,25.291428,82.950461,EPSG:4326,39936,20128,19808,9232,16610.4,6329,3065,City,4489.3,0,207.2,2676,POINT (82.950461 25.291428),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0134,Bihar,Patna,Patna Settlement 0134,Patna,25.572163,85.16586,EPSG:4326,123781,62006,61775,26050,10636.4,21242,9484,Urban Fringe,6173.7,0,577.2,5970,POINT (85.165860 25.572163),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0135,West Bengal,Kolkata,Kolkata Settlement 0135,Kolkata,22.569536,88.33885,EPSG:4326,73320,36734,36586,16868,31582.8,13642,7999,Town,2818.9,0,1116.9,1844,POINT (88.338850 22.569536),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0136,Assam,Guwahati,Guwahati Settlement 0136,Guwahati,26.158017,91.715961,EPSG:4326,14314,6872,7442,3540,2158.6,1834,1547,Village,320.5,1,975.8,4664,POINT (91.715961 26.158017),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0137,Odisha,Bhubaneswar,Bhubaneswar Settlement 0137,Bhubaneswar,20.318024,85.840634,EPSG:4326,9424,4620,4804,2306,1706.1,1480,1163,Village,5963.4,0,227.8,678,POINT (85.840634 20.318024),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0138,Jharkhand,Ranchi,Ranchi Settlement 0138,Ranchi,23.316439,85.313928,EPSG:4326,125821,61930,63891,26545,26356.2,22636,11020,Urban Fringe,4484.1,0,34.1,1211,POINT (85.313928 23.316439),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0139,Madhya Pradesh,Bhopal,Bhopal Settlement 0139,Bhopal,23.243773,77.403163,EPSG:4326,123752,59302,64450,24862,28077.5,20809,10364,Town,2916.5,0,687.3,5343,POINT (77.403163 23.243773),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0140,Madhya Pradesh,Indore,Indore Settlement 0140,Indore,22.711257,75.839831,EPSG:4326,46358,24094,22264,9623,7506.8,8789,3371,Urban Fringe,4570.0,0,1127.6,2366,POINT (75.839831 22.711257),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0141,Chhattisgarh,Raipur,Raipur Settlement 0141,Raipur,21.254637,81.659222,EPSG:4326,142801,68400,74401,33017,15301.6,20463,8634,City,7561.5,0,1134.6,5811,POINT (81.659222 21.254637),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0142,Telangana,Hyderabad,Hyderabad Settlement 0142,Hyderabad,17.369499,78.512404,EPSG:4326,5951,3140,2811,1217,631.2,1266,620,Village,6046.9,0,562.0,3,POINT (78.512404 17.369499),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0143,Karnataka,Bengaluru,Bengaluru Settlement 0143,Bengaluru,12.956823,77.621781,EPSG:4326,49070,24058,25012,9838,11045.8,6455,4285,Town,108.1,1,330.0,22227,POINT (77.621781 12.956823),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0144,Karnataka,Mysuru,Mysuru Settlement 0144,Mysuru,12.311417,76.656973,EPSG:4326,35553,17627,17926,9632,3063.0,7163,2674,Town,481.3,1,704.0,23040,POINT (76.656973 12.311417),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0145,Tamil Nadu,Chennai,Chennai Settlement 0145,Chennai,13.06153,80.280469,EPSG:4326,16098,8487,7611,4957,1586.0,3440,1354,Village,669.1,1,416.3,12011,POINT (80.280469 13.061530),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0146,Tamil Nadu,Coimbatore,Coimbatore Settlement 0146,Coimbatore,11.011985,76.947361,EPSG:4326,30892,14980,15912,7088,4481.1,4240,3170,Urban Fringe,942.9,1,496.4,8946,POINT (76.947361 11.011985),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0147,Kerala,Kochi,Kochi Settlement 0147,Kochi,9.9221,76.279713,EPSG:4326,10732,5603,5129,2456,2393.9,2269,1038,Village,2707.4,0,24.9,831,POINT (76.279713 9.922100),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0148,Kerala,Thiruvananthapuram,Thiruvananthapuram Settlement 0148,Thiruvananthapuram,8.536837,76.950115,EPSG:4326,104919,50400,54519,22605,16580.2,19788,11024,Urban Fringe,5361.8,0,310.6,6759,POINT (76.950115 8.536837),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0149,Andhra Pradesh,Vijayawada,Vijayawada Settlement 0149,Vijayawada,16.513559,80.623609,EPSG:4326,134417,70414,64003,38459,85931.8,20219,14555,Town,4988.9,0,439.8,10450,POINT (80.623609 16.513559),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0150,Andhra Pradesh,Visakhapatnam,Visakhapatnam Settlement 0150,Visakhapatnam,17.676317,83.194601,EPSG:4326,15998,8031,7967,4095,11201.1,2818,1294,Village,3472.8,0,444.4,916,POINT (83.194601 17.676317),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0151,Jammu and Kashmir,Srinagar,Srinagar Settlement 0151,Srinagar,34.103844,74.802316,EPSG:4326,108857,55464,53393,27980,24297.0,15812,14002,Urban Fringe,2734.1,0,553.3,5460,POINT (74.802316 34.103844),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0152,Himachal Pradesh,Shimla,Shimla Settlement 0152,Shimla,31.090949,77.151039,EPSG:4326,6764,3363,3401,1880,661.3,1274,430,Village,5280.9,0,513.1,30,POINT (77.151039 31.090949),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0153,Uttarakhand,Dehradun,Dehradun Settlement 0153,Dehradun,30.328092,78.048752,EPSG:4326,20572,10863,9709,5107,27871.1,2572,1926,Village,4933.6,0,170.2,1160,POINT (78.048752 30.328092),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0154,Bihar,Gaya,Gaya Settlement 0154,Gaya,24.790361,85.029196,EPSG:4326,86693,41917,44776,22302,8324.8,14903,5776,Town,3067.5,0,80.2,2874,POINT (85.029196 24.790361),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0155,Uttar Pradesh,Agra,Agra Settlement 0155,Agra,27.151122,78.024524,EPSG:4326,17465,8408,9057,3927,1719.2,2721,1726,Urban Fringe,2339.4,0,776.9,1087,POINT (78.024524 27.151122),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0156,Delhi,Delhi,Delhi Settlement 0156,Delhi,28.602905,77.216881,EPSG:4326,59656,31342,28314,13164,5303.1,7967,7314,City,6574.8,0,162.2,2001,POINT (77.216881 28.602905),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0157,Maharashtra,Mumbai,Mumbai Settlement 0157,Mumbai,19.104595,72.848738,EPSG:4326,86207,44745,41462,18654,46340.4,13936,9039,Town,4409.6,0,451.9,643,POINT (72.848738 19.104595),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0158,Maharashtra,Pune,Pune Settlement 0158,Pune,18.528842,73.86773,EPSG:4326,18432,9767,8665,5710,2070.5,2291,2005,Village,921.0,1,514.5,8821,POINT (73.867730 18.528842),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0159,Maharashtra,Nagpur,Nagpur Settlement 0159,Nagpur,21.159936,79.071643,EPSG:4326,110209,55576,54633,27175,20277.9,20560,13968,Town,5094.4,0,1095.6,399,POINT (79.071643 21.159936),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0160,Gujarat,Ahmedabad,Ahmedabad Settlement 0160,Ahmedabad,23.030563,72.583701,EPSG:4326,23915,11431,12484,6026,3311.9,4349,2703,Village,835.1,1,1053.6,13200,POINT (72.583701 23.030563),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0161,Gujarat,Surat,Surat Settlement 0161,Surat,21.164715,72.824647,EPSG:4326,14088,6667,7421,4363,2074.5,1718,1401,City,577.4,1,679.2,4765,POINT (72.824647 21.164715),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0162,Rajasthan,Jaipur,Jaipur Settlement 0162,Jaipur,26.897573,75.805325,EPSG:4326,76043,38075,37968,17543,20167.9,11041,9764,City,1609.6,1,1176.6,51484,POINT (75.805325 26.897573),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0163,Uttar Pradesh,Lucknow,Lucknow Settlement 0163,Lucknow,26.872343,80.916562,EPSG:4326,127085,62595,64490,30425,14279.2,26024,10863,City,1082.9,1,499.6,90359,POINT (80.916562 26.872343),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0164,Uttar Pradesh,Varanasi,Varanasi Settlement 0164,Varanasi,25.321786,82.975806,EPSG:4326,22688,11009,11679,5046,2639.7,2857,1718,Village,1620.0,1,1133.1,7840,POINT (82.975806 25.321786),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0165,Bihar,Patna,Patna Settlement 0165,Patna,25.592327,85.112817,EPSG:4326,116430,54827,61603,35133,15714.6,25416,8203,City,3274.2,0,324.9,9305,POINT (85.112817 25.592327),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0166,West Bengal,Kolkata,Kolkata Settlement 0166,Kolkata,22.56091,88.383295,EPSG:4326,99884,48626,51258,21490,38016.5,21500,11313,City,7912.1,0,180.2,999,POINT (88.383295 22.560910),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0167,Assam,Guwahati,Guwahati Settlement 0167,Guwahati,26.123058,91.718136,EPSG:4326,80911,40427,40484,17220,9472.8,17426,4858,Urban Fringe,6918.6,0,742.9,4578,POINT (91.718136 26.123058),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0168,Odisha,Bhubaneswar,Bhubaneswar Settlement 0168,Bhubaneswar,20.31685,85.837423,EPSG:4326,70801,35235,35566,15529,7033.7,9005,4663,Town,4126.4,0,513.0,1651,POINT (85.837423 20.316850),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0169,Jharkhand,Ranchi,Ranchi Settlement 0169,Ranchi,23.369647,85.330662,EPSG:4326,88723,45996,42727,20926,8291.5,12987,6604,Urban Fringe,5987.1,0,933.1,2383,POINT (85.330662 23.369647),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0170,Madhya Pradesh,Bhopal,Bhopal Settlement 0170,Bhopal,23.232496,77.406408,EPSG:4326,79362,38221,41141,20785,17402.6,14357,6133,City,5272.6,0,242.3,1616,POINT (77.406408 23.232496),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0171,Madhya Pradesh,Indore,Indore Settlement 0171,Indore,22.695092,75.855053,EPSG:4326,613,323,290,125,64.1,129,65,Village,1187.9,1,384.8,70,POINT (75.855053 22.695092),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0172,Chhattisgarh,Raipur,Raipur Settlement 0172,Raipur,21.2771,81.644822,EPSG:4326,53905,26829,27076,16559,9537.0,7876,5442,City,3857.6,0,982.4,1495,POINT (81.644822 21.277100),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0173,Telangana,Hyderabad,Hyderabad Settlement 0173,Hyderabad,17.371688,78.469634,EPSG:4326,19854,10195,9659,5438,3237.7,2402,1952,City,7757.5,0,223.9,894,POINT (78.469634 17.371688),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0174,Karnataka,Bengaluru,Bengaluru Settlement 0174,Bengaluru,12.950884,77.603395,EPSG:4326,95753,47501,48252,22048,10533.7,18519,11317,Urban Fringe,7946.4,0,412.4,208,POINT (77.603395 12.950884),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0175,Karnataka,Mysuru,Mysuru Settlement 0175,Mysuru,12.292797,76.663391,EPSG:4326,23452,12094,11358,5933,6805.7,3017,1871,Village,1971.3,0,993.9,1644,POINT (76.663391 12.292797),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0176,Tamil Nadu,Chennai,Chennai Settlement 0176,Chennai,13.110128,80.255057,EPSG:4326,92189,44808,47381,18991,30353.3,19294,5654,Town,5376.7,0,594.7,7048,POINT (80.255057 13.110128),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0177,Tamil Nadu,Coimbatore,Coimbatore Settlement 0177,Coimbatore,11.013215,76.961654,EPSG:4326,40209,20830,19379,11199,45159.9,5887,2988,City,6712.7,0,1077.8,1031,POINT (76.961654 11.013215),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0178,Kerala,Kochi,Kochi Settlement 0178,Kochi,9.910991,76.274157,EPSG:4326,72971,37621,35350,18061,6865.3,14778,4557,Town,942.5,1,27.3,7296,POINT (76.274157 9.910991),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0179,Kerala,Thiruvananthapuram,Thiruvananthapuram Settlement 0179,Thiruvananthapuram,8.542143,76.930015,EPSG:4326,2027,1002,1025,440,263.8,280,157,Village,1592.1,1,867.4,954,POINT (76.930015 8.542143),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0180,Andhra Pradesh,Vijayawada,Vijayawada Settlement 0180,Vijayawada,16.489433,80.668701,EPSG:4326,20658,10428,10230,4569,8402.7,3809,2118,Village,5771.0,0,818.3,738,POINT (80.668701 16.489433),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0181,Andhra Pradesh,Visakhapatnam,Visakhapatnam Settlement 0181,Visakhapatnam,17.664878,83.21832,EPSG:4326,22724,11092,11632,4633,2292.9,2894,1960,Village,463.9,1,836.3,4043,POINT (83.218320 17.664878),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0182,Jammu and Kashmir,Srinagar,Srinagar Settlement 0182,Srinagar,34.105659,74.780994,EPSG:4326,14552,7369,7183,3116,1272.1,2094,1743,Village,6918.3,0,991.2,660,POINT (74.780994 34.105659),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0183,Himachal Pradesh,Shimla,Shimla Settlement 0183,Shimla,31.109424,77.159278,EPSG:4326,136499,68765,67734,37770,12591.3,26537,14250,Town,2025.8,0,360.1,3559,POINT (77.159278 31.109424),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0184,Uttarakhand,Dehradun,Dehradun Settlement 0184,Dehradun,30.330967,78.042237,EPSG:4326,101501,52929,48572,26222,25088.6,20231,11506,Town,7330.5,0,533.6,1149,POINT (78.042237 30.330967),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0185,Bihar,Gaya,Gaya Settlement 0185,Gaya,24.762867,84.987358,EPSG:4326,109816,54820,54996,23105,9609.8,13784,11039,Urban Fringe,7623.0,0,45.6,1841,POINT (84.987358 24.762867),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
