river_id,river_name,river_basin,state,district,reach_id,latitude,longitude,crs,chainage_km,river_width_m,bankfull_width_m,left_bank_elevation_m,right_bank_elevation_m,bed_elevation_m,thalweg_elevation_m,mean_depth_m,maximum_depth_m,bed_slope,cross_section_area_m2,wetted_perimeter_m,manning_n,bank_material,flow_direction_deg,upstream_dam_id,cross_section_wkt,measurement_timestamp,data_source,data_status
IN-R12,Luni,Luni Basin,Rajasthan,Jodhpur,IN-12-14,26.253,73.03625,EPSG:4326,19.5,110.26,130.1,130.76,125.05,116.36,113.41,12.15,17.35,0.003872,1356.8,144.96,0.041,Clay,244.23,D027,"LINESTRING(73.03125 26.251,73.03625 26.253,73.04124999999999 26.255)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-01,14.437,79.96375,EPSG:4326,0.0,106.25,125.37,149.38,151.71,138.72,136.87,8.75,12.51,0.000329,1188.06,131.26,0.031,Clay,222.92,D028,"LINESTRING(79.95875000000001 14.434999999999999,79.96375 14.437,79.96875 14.439)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-02,14.439,79.96625,EPSG:4326,1.5,148.68,175.45,176.81,182.95,162.66,161.08,11.01,15.73,0.001147,1578.48,180.15,0.029,Gravel,69.74,D028,"LINESTRING(79.96125 14.437,79.96625 14.439,79.97125 14.441)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-03,14.441,79.96875,EPSG:4326,3.0,129.37,152.66,134.86,136.5,129.17,125.75,6.38,9.11,0.000699,861.56,147.6,0.038,Silt,8.05,D028,"LINESTRING(79.96375 14.438999999999998,79.96875 14.440999999999999,79.97375 14.443)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-04,14.443,79.97125,EPSG:4326,4.5,116.58,137.57,118.26,112.42,109.91,105.93,8.63,12.33,0.003941,900.09,141.23,0.039,Alluvium,358.95,D028,"LINESTRING(79.96625 14.440999999999999,79.97125 14.443,79.97625 14.445)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-05,14.445,79.97375,EPSG:4326,6.0,86.72,102.32,170.57,161.47,155.69,154.17,11.48,16.4,0.00222,959.03,119.51,0.043,Gravel,5.48,D028,"LINESTRING(79.96875000000001 14.442999999999998,79.97375000000001 14.444999999999999,79.97875 14.447)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-06,14.447,79.97625,EPSG:4326,7.5,134.56,158.78,148.07,151.99,142.51,140.79,5.1,7.29,0.000143,714.2,149.14,0.037,Silt,306.34,D028,"LINESTRING(79.97125000000001 14.444999999999999,79.97625000000001 14.447,79.98125 14.449)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-07,14.449,79.97875,EPSG:4326,9.0,84.97,100.26,171.39,170.26,165.22,162.71,6.08,8.68,0.001292,482.06,102.33,0.041,Clay,346.62,D028,"LINESTRING(79.97375000000001 14.447,79.97875 14.449,79.98375 14.451)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-08,14.451,79.98125,EPSG:4326,10.5,96.12,113.42,129.6,132.83,116.88,113.6,11.2,16.0,0.000865,1032.1,128.12,0.032,Silt,144.75,D028,"LINESTRING(79.97625000000001 14.448999999999998,79.98125 14.450999999999999,79.98625 14.453)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-09,14.453,79.98375,EPSG:4326,12.0,144.61,170.64,138.95,143.55,132.26,128.51,7.3,10.43,0.00023,1146.84,165.48,0.039,Alluvium,149.19,D028,"LINESTRING(79.97875 14.450999999999999,79.98375 14.453,79.98875 14.455)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-10,14.455,79.98625,EPSG:4326,13.5,96.94,114.39,140.81,138.33,134.44,131.83,6.29,8.99,0.00239,589.58,114.91,0.042,Alluvium,64.84,D028,"LINESTRING(79.98125 14.453,79.98625 14.455,79.99125 14.457)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-11,14.457,79.98875,EPSG:4326,15.0,83.05,98.0,161.25,163.2,151.1,147.1,9.91,14.15,0.002122,989.62,111.35,0.029,Sand,315.59,D028,"LINESTRING(79.98375000000001 14.454999999999998,79.98875000000001 14.456999999999999,79.99375 14.459)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-12,14.459,79.99125,EPSG:4326,16.5,158.28,186.77,143.75,138.13,140.18,137.67,4.25,6.07,0.000273,722.78,170.43,0.033,Alluvium,233.54,D028,"LINESTRING(79.98625000000001 14.456999999999999,79.99125000000001 14.459,79.99625 14.461)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-13,14.461,79.99375,EPSG:4326,18.0,114.55,135.17,160.31,161.79,148.43,146.58,9.61,13.73,0.001658,1246.15,142.0,0.034,Silt,154.3,D028,"LINESTRING(79.98875000000001 14.458999999999998,79.99375 14.460999999999999,79.99875 14.463)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R13,Pennar,Pennar Basin,Andhra Pradesh,Nellore,IN-13-14,14.463,79.99625,EPSG:4326,19.5,169.1,199.54,150.67,153.1,137.99,137.27,9.39,13.41,0.0032,1904.61,195.92,0.038,Alluvium,329.18,D028,"LINESTRING(79.99125000000001 14.460999999999999,79.99625 14.463,80.00125 14.465)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-01,12.907,79.11375,EPSG:4326,0.0,71.08,83.87,137.75,135.47,129.82,126.01,8.21,11.74,0.001793,619.57,94.55,0.041,Silt,64.14,D013,"LINESTRING(79.10875 12.905,79.11375 12.907,79.11874999999999 12.909)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-02,12.909,79.11625,EPSG:4326,1.5,165.61,195.42,119.09,120.21,105.87,104.93,9.92,14.16,0.003267,1650.84,193.94,0.025,Silt,1.15,D013,"LINESTRING(79.11125 12.907,79.11625 12.909,79.12124999999999 12.911000000000001)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-03,12.911,79.11875,EPSG:4326,3.0,90.82,107.17,161.72,154.59,156.62,155.38,4.44,6.34,0.002336,369.27,103.51,0.029,Clay,351.88,D013,"LINESTRING(79.11375 12.908999999999999,79.11874999999999 12.911,79.12374999999999 12.913)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-04,12.913,79.12125,EPSG:4326,4.5,171.6,202.49,101.65,101.92,92.88,91.64,7.01,10.01,0.003185,1034.41,191.62,0.036,Clay,261.62,D013,"LINESTRING(79.11625 12.911,79.12124999999999 12.913,79.12624999999998 12.915000000000001)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-05,12.915,79.12375,EPSG:4326,6.0,119.92,141.5,215.6,208.59,207.6,206.12,6.64,9.49,0.003887,973.11,138.89,0.041,Silt,213.64,D013,"LINESTRING(79.11875 12.912999999999998,79.12375 12.915,79.12875 12.917)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-06,12.917,79.12625,EPSG:4326,7.5,110.26,130.11,193.92,204.31,189.19,185.25,6.07,8.67,0.001556,843.72,127.61,0.034,Gravel,147.48,D013,"LINESTRING(79.12125 12.915,79.12625 12.917,79.13125 12.919)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-07,12.919,79.12875,EPSG:4326,9.0,107.79,127.19,143.6,140.75,129.33,126.48,11.98,17.12,0.002823,1653.1,142.03,0.031,Clay,87.59,D013,"LINESTRING(79.12375 12.917,79.12875 12.919,79.13374999999999 12.921000000000001)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-08,12.921,79.13125,EPSG:4326,10.5,91.33,107.77,115.21,111.53,106.88,105.16,7.04,10.06,0.002392,557.66,111.44,0.037,Gravel,125.74,D013,"LINESTRING(79.12625 12.918999999999999,79.13125 12.921,79.13624999999999 12.923)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-09,12.923,79.13375,EPSG:4326,12.0,131.89,155.63,130.91,128.63,119.06,116.85,9.84,14.06,0.000617,1215.53,160.01,0.035,Silt,165.65,D013,"LINESTRING(79.12875 12.921,79.13374999999999 12.923,79.13874999999999 12.925)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-10,12.925,79.13625,EPSG:4326,13.5,55.41,65.38,97.23,96.55,90.29,87.61,6.74,9.63,0.002845,325.47,74.66,0.041,Silt,131.67,D013,"LINESTRING(79.13125 12.923,79.13624999999999 12.925,79.14124999999999 12.927000000000001)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-11,12.927,79.13875,EPSG:4326,15.0,101.01,119.19,166.92,167.34,154.88,153.89,9.12,13.03,0.001604,1015.58,127.07,0.026,Gravel,181.95,D013,"LINESTRING(79.13375 12.924999999999999,79.13875 12.927,79.14375 12.929)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-12,12.929,79.14125,EPSG:4326,16.5,71.48,84.35,75.56,73.74,69.44,67.23,5.83,8.33,0.000378,441.91,88.13,0.044,Clay,296.32,D013,"LINESTRING(79.13625 12.927,79.14125 12.929,79.14625 12.931000000000001)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-13,12.931,79.14375,EPSG:4326,18.0,131.46,155.12,119.49,119.33,107.8,103.84,10.96,15.65,0.000456,1700.77,162.76,0.041,Gravel,4.49,D013,"LINESTRING(79.13875 12.928999999999998,79.14375 12.931,79.14874999999999 12.933)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R14,Palar,Palar Basin,Tamil Nadu,Vellore,IN-14-14,12.933,79.14625,EPSG:4326,19.5,112.86,133.18,132.24,136.82,120.28,118.24,9.8,14.0,0.002461,951.9,140.86,0.031,Silt,50.02,D013,"LINESTRING(79.14125 12.931,79.14625 12.933,79.15124999999999 12.935)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-01,12.167,78.83375,EPSG:4326,0.0,98.46,116.18,231.57,227.28,228.0,224.65,4.84,6.92,0.000599,551.35,112.3,0.041,Clay,282.59,D014,"LINESTRING(78.82875 12.165,78.83375 12.167,78.83874999999999 12.169)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-02,12.169,78.83625,EPSG:4326,1.5,94.05,110.97,138.04,145.41,125.82,121.97,11.25,16.07,0.002653,1207.41,126.18,0.044,Sand,45.6,D014,"LINESTRING(78.83125 12.167,78.83624999999999 12.169,78.84124999999999 12.171000000000001)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-03,12.171,78.83875,EPSG:4326,3.0,63.82,75.3,115.84,115.27,105.8,103.73,8.48,12.11,0.001599,480.02,88.04,0.025,Clay,321.52,D014,"LINESTRING(78.83375 12.168999999999999,78.83874999999999 12.171,78.84374999999999 12.173)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-04,12.173,78.84125,EPSG:4326,4.5,95.3,112.46,142.3,138.45,138.98,137.37,3.45,4.93,0.003374,344.43,105.17,0.037,Clay,30.21,D014,"LINESTRING(78.83624999999999 12.171,78.84124999999999 12.173,78.84624999999998 12.175)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-05,12.175,78.84375,EPSG:4326,6.0,150.38,177.45,197.07,192.94,186.79,185.79,7.9,11.29,0.001347,1313.74,172.96,0.026,Silt,213.11,D014,"LINESTRING(78.83875 12.172999999999998,78.84375 12.174999999999999,78.84875 12.177)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-06,12.177,78.84625,EPSG:4326,7.5,88.8,104.78,174.46,172.24,167.53,165.38,6.36,9.08,0.00258,674.64,106.97,0.034,Sand,64.46,D014,"LINESTRING(78.84125 12.174999999999999,78.84625 12.177,78.85125 12.179)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-07,12.179,78.84875,EPSG:4326,9.0,152.81,180.32,152.56,150.12,141.18,140.16,8.68,12.39,0.00339,1216.82,177.6,0.038,Silt,326.65,D014,"LINESTRING(78.84375 12.177,78.84875 12.179,78.85374999999999 12.181000000000001)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-08,12.181,78.85125,EPSG:4326,10.5,152.26,179.66,176.42,179.11,170.76,169.07,5.15,7.35,0.000894,905.75,166.96,0.04,Alluvium,350.14,D014,"LINESTRING(78.84625 12.178999999999998,78.85125 12.181,78.85624999999999 12.183)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-09,12.183,78.85375,EPSG:4326,12.0,63.54,74.98,113.91,113.86,109.49,106.93,4.88,6.97,0.00128,299.22,77.49,0.026,Clay,247.68,D014,"LINESTRING(78.84875 12.181,78.85374999999999 12.183,78.85874999999999 12.185)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-10,12.185,78.85625,EPSG:4326,13.5,84.93,100.22,78.8,75.44,64.65,60.99,12.47,17.81,0.003505,1346.61,120.55,0.039,Clay,63.4,D014,"LINESTRING(78.85125 12.183,78.85624999999999 12.185,78.86124999999998 12.187000000000001)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-11,12.187,78.85875,EPSG:4326,15.0,43.24,51.02,91.57,92.52,77.29,73.31,12.78,18.26,0.003761,547.1,79.75,0.028,Sand,22.07,D014,"LINESTRING(78.85375 12.184999999999999,78.85875 12.187,78.86375 12.189)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-12,12.189,78.86125,EPSG:4326,16.5,130.75,154.28,171.9,175.44,163.65,162.07,6.88,9.84,0.002598,1052.54,150.42,0.032,Sand,76.83,D014,"LINESTRING(78.85625 12.187,78.86125 12.189,78.86625 12.191)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-13,12.191,78.86375,EPSG:4326,18.0,80.51,95.0,153.97,158.06,148.65,144.77,6.44,9.2,0.003681,655.7,98.92,0.033,Silt,174.91,D014,"LINESTRING(78.85875 12.188999999999998,78.86375 12.190999999999999,78.86874999999999 12.193)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R15,Ponnaiyar,Ponnaiyar Basin,Tamil Nadu,Tiruvannamalai,IN-15-14,12.193,78.86625,EPSG:4326,19.5,79.7,94.04,158.13,157.04,153.19,151.66,4.52,6.46,0.000684,375.06,92.62,0.031,Clay,257.46,D014,"LINESTRING(78.86125 12.190999999999999,78.86625 12.193,78.87124999999999 12.195)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-01,10.067,77.56375,EPSG:4326,0.0,128.97,152.18,130.02,130.86,123.94,120.84,6.43,9.18,0.002738,765.97,147.33,0.025,Sand,301.04,D010,"LINESTRING(77.55875 10.065,77.56375 10.067,77.56875 10.069)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-02,10.069,77.56625,EPSG:4326,1.5,78.55,92.69,174.75,179.38,167.99,165.54,6.45,9.21,0.000847,602.12,96.97,0.032,Alluvium,127.07,D010,"LINESTRING(77.56125 10.067,77.56625 10.069,77.57124999999999 10.071000000000002)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-03,10.071,77.56875,EPSG:4326,3.0,97.46,115.0,106.62,99.05,94.57,93.26,9.35,13.36,0.000272,923.75,124.18,0.036,Alluvium,246.9,D010,"LINESTRING(77.56375 10.068999999999999,77.56875 10.071,77.57374999999999 10.073)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-04,10.073,77.57125,EPSG:4326,4.5,133.03,156.98,211.25,203.01,206.86,204.29,4.87,6.96,0.001906,746.04,146.96,0.031,Silt,54.15,D010,"LINESTRING(77.56625 10.071,77.57124999999999 10.073,77.57624999999999 10.075000000000001)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-05,10.075,77.57375,EPSG:4326,6.0,109.24,128.9,154.14,153.33,139.22,136.19,12.56,17.95,0.00341,1274.18,145.14,0.038,Silt,96.27,D010,"LINESTRING(77.56875000000001 10.072999999999999,77.57375 10.075,77.57875 10.077)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-06,10.077,77.57625,EPSG:4326,7.5,143.29,169.09,174.3,168.99,167.14,166.02,5.79,8.27,0.000389,714.69,159.84,0.028,Clay,313.49,D010,"LINESTRING(77.57125 10.075,77.57625 10.077,77.58125 10.079)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-07,10.079,77.57875,EPSG:4326,9.0,175.28,206.83,119.63,120.31,105.32,103.45,11.33,16.18,0.000789,2043.24,207.64,0.028,Clay,199.42,D010,"LINESTRING(77.57375 10.077,77.57875 10.079,77.58375 10.081000000000001)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-08,10.081,77.58125,EPSG:4326,10.5,73.5,86.73,145.3,152.54,140.53,138.01,5.11,7.3,0.002464,473.72,88.09,0.041,Alluvium,182.54,D010,"LINESTRING(77.57625 10.078999999999999,77.58125 10.081,77.58624999999999 10.083)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-09,10.083,77.58375,EPSG:4326,12.0,163.82,193.31,117.39,112.03,112.31,109.8,5.31,7.59,0.001552,790.52,179.0,0.036,Sand,319.29,D010,"LINESTRING(77.57875 10.081,77.58375 10.083,77.58874999999999 10.085)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-10,10.085,77.58625,EPSG:4326,13.5,175.79,207.43,177.31,179.82,169.43,165.75,8.09,11.56,0.002684,1694.58,198.91,0.037,Alluvium,287.58,D010,"LINESTRING(77.58125 10.083,77.58624999999999 10.085,77.59124999999999 10.087000000000002)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-11,10.087,77.58875,EPSG:4326,15.0,151.83,179.17,148.24,145.15,144.65,142.87,3.76,5.37,0.004,572.21,162.58,0.031,Sand,299.86,D010,"LINESTRING(77.58375000000001 10.084999999999999,77.58875 10.087,77.59375 10.089)",2026-08-12 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-12,10.089,77.59125,EPSG:4326,16.5,68.82,81.21,99.52,97.81,87.83,87.05,8.73,12.47,0.00385,559.14,93.77,0.045,Sand,228.99,D010,"LINESTRING(77.58625 10.087,77.59125 10.089,77.59625 10.091000000000001)",2026-08-13 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-13,10.091,77.59375,EPSG:4326,18.0,133.09,157.04,228.05,227.36,218.44,217.56,7.35,10.49,0.000624,1054.71,154.07,0.031,Silt,263.6,D010,"LINESTRING(77.58875 10.088999999999999,77.59375 10.091,77.59875 10.093)",2026-08-14 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R16,Vaigai,Vaigai Basin,Tamil Nadu,Theni,IN-16-14,10.093,77.59625,EPSG:4326,19.5,121.36,143.2,190.8,189.51,186.48,182.51,5.8,8.29,0.001474,860.23,137.93,0.036,Sand,26.43,D010,"LINESTRING(77.59125 10.091,77.59625 10.093,77.60125 10.095)",2026-08-15 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R17,Tamiraparani,Tamiraparani Basin,Tamil Nadu,Tirunelveli,IN-17-01,8.697,77.33375,EPSG:4326,0.0,126.09,148.78,120.85,121.57,116.77,112.81,5.63,8.04,0.001616,883.25,142.17,0.041,Alluvium,87.39,D011,"LINESTRING(77.32875 8.695,77.33375 8.697000000000001,77.33874999999999 8.699000000000002)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R17,Tamiraparani,Tamiraparani Basin,Tamil Nadu,Tirunelveli,IN-17-02,8.699,77.33625,EPSG:4326,1.5,98.51,116.24,154.03,153.66,140.93,140.28,9.63,13.75,0.0011,846.81,126.01,0.028,Silt,33.16,D011,"LINESTRING(77.33125 8.697000000000001,77.33624999999999 8.699000000000002,77.34124999999999 8.701000000000002)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R17,Tamiraparani,Tamiraparani Basin,Tamil Nadu,Tirunelveli,IN-17-03,8.701,77.33875,EPSG:4326,3.0,111.1,131.1,211.94,209.51,200.08,196.39,10.88,15.55,0.001456,1274.47,142.2,0.038,Clay,85.04,D011,"LINESTRING(77.33375 8.699,77.33874999999999 8.701,77.34374999999999 8.703000000000001)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R17,Tamiraparani,Tamiraparani Basin,Tamil Nadu,Tirunelveli,IN-17-04,8.703,77.34125,EPSG:4326,4.5,119.3,140.78,173.43,171.09,162.83,159.07,10.05,14.36,0.003018,1175.97,148.03,0.038,Sand,341.15,D011,"LINESTRING(77.33624999999999 8.701,77.34124999999999 8.703000000000001,77.34624999999998 8.705000000000002)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R17,Tamiraparani,Tamiraparani Basin,Tamil Nadu,Tirunelveli,IN-17-05,8.705,77.34375,EPSG:4326,6.0,169.7,200.25,179.18,179.76,166.12,165.54,9.55,13.64,0.003379,1900.09,196.98,0.043,Clay,220.4,D011,"LINESTRING(77.33875 8.703,77.34375 8.705,77.34875 8.707)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
